indice,date_partido,local,visita,prediccion,correcto,multiplicador
premiere,17/12/2017,Bournemouth,Liverpool,Liverpool,1,1.19
premiere,17/12/2017,West Brom,Man United,Man United,1,1.26
premiere,18/12/2017,Everton,Swansea,-,,1.32
premiere,22/12/2017,Arsenal,Liverpool,-,,1.15
premiere,23/12/2017,Man City,Bournemouth,Man City,1,1.01
premiere,23/12/2017,Everton,Chelsea,-,,1.06
premiere,23/12/2017,Swansea,Crystal Palace,-,,1.07
premiere,23/12/2017,Southampton,Huddersfield,-,,1.05
premiere,23/12/2017,Leicester,Man United,-,,1.24
premiere,23/12/2017,West Ham,Newcastle,-,,1.3
premiere,23/12/2017,Burnley,Tottenham,-,,1.28
premiere,23/12/2017,Brighton,Watford,-,,1.27
premiere,23/12/2017,Stoke,West Brom,-,,1.17
premiere,26/12/2017,Chelsea,Brighton,-,,1.04
premiere,26/12/2017,Man United,Burnley,-,,1.23
premiere,26/12/2017,West Brom,Everton,-,,1.16
premiere,26/12/2017,Watford,Leicester,-,,1.14
premiere,26/12/2017,Tottenham,Southampton,Tottenham,1,1.2
premiere,26/12/2017,Huddersfield,Stoke,-,,1.17
premiere,26/12/2017,Liverpool,Swansea,Liverpool,1,1.27
premiere,26/12/2017,Bournemouth,West Ham,-,,1.07
